date,result,fighter,fighter2,division,stance,stance2,method,total_comp_time,round,time,knockdowns,sub_attempts,reversals,control,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts,takedowns_accuracy,sig_strikes_accuracy,total_strikes_accuracy,head_strikes_accuracy,body_strikes_accuracy,leg_strikes_accuracy,distance_strikes_accuracy,clinch_strikes_accuracy,ground_strikes_accuracy,takedowns_def,sig_strikes_def,total_strikes_def,sub_attempts_per_min,takedowns_landed_per_min,takedowns_attempts_per_min,sig_strikes_landed_per_min,sig_strikes_attempts_per_min,total_strikes_landed_per_min,total_strikes_attempts_per_min,head_strikes_landed_per_min,head_strikes_attempts_per_min,body_strikes_landed_per_min,body_strikes_attempts_per_min,leg_strikes_landed_per_min,leg_strikes_attempts_per_min,distance_strikes_landed_per_min,distance_strikes_attempts_per_min,clinch_strikes_landed_per_min,clinch_strikes_attempts_per_min,ground_strikes_landed_per_min,ground_strikes_attempts_per_min,stance2,knockdowns2,sub_attempts2,reversals2,control2,takedowns_landed2,takedowns_attempts2,sig_strikes_landed2,sig_strikes_attempts2,total_strikes_landed2,total_strikes_attempts2,head_strikes_landed2,head_strikes_attempts2,body_strikes_landed2,body_strikes_attempts2,leg_strikes_landed2,leg_strikes_attempts2,distance_strikes_landed2,distance_strikes_attempts2,clinch_strikes_landed2,clinch_strikes_attempts2,ground_strikes_landed2,ground_strikes_attempts2,takedowns_accuracy2,total_strikes_accuracy2,sig_strikes_accuracy2,head_strikes_accuracy2,body_strikes_accuracy2,leg_strikes_accuracy2,distance_strikes_accuracy2,clinch_strikes_accuracy2,ground_strikes_accuracy2,takedowns_def2,sig_strikes_def2,total_strikes_def2,sub_attempts_per_min2,takedowns_landed_per_min2,takedowns_attempts_per_min2,sig_strikes_landed_per_min2,sig_strikes_attempts_per_min2,total_strikes_landed_per_min2,total_strikes_attempts_per_min2,head_strikes_landed_per_min2,head_strikes_attempts_per_min2,body_strikes_landed_per_min2,body_strikes_attempts_per_min2,leg_strikes_landed_per_min2,leg_strikes_attempts_per_min2,distance_strikes_landed_per_min2,distance_strikes_attempts_per_min2,clinch_strikes_landed_per_min2,clinch_strikes_attempts_per_min2,ground_strikes_landed_per_min2,ground_strikes_attempts_per_min2,year,FOTN,gender
1/2/2016,1,Sheldon Westcott,Edgar Garcia,Welterweight,Southpaw,Orthodox,KO/TKO,192,1,3:12,0,0,0,147,1,1,33,79,60,115,33,77,0,2,0,0,0,6,0,0,33,73,100,41.7721519,52.17391304,42.85714286,0,0,0,0,45.20547945,100,66.66666667,66.66666667,0,0.3125,0.3125,10.3125,24.6875,18.75,35.9375,10.3125,24.0625,0,0.625,0,0,0,1.875,0,0,10.3125,22.8125,Orthodox,0,0,0,0,0,0,1,3,1,3,1,3,0,0,0,0,1,3,0,0,0,0,0,33.33333333,33.33333333,33.33333333,0,0,33.33333333,0,0,0,58.2278481,47.82608696,0,0,0,0.3125,0.9375,0.3125,0.9375,0.3125,0.9375,0,0,0,0,0.3125,0.9375,0.3125,0,0,0,2016,No,Men
1/2/2016,1,Michinori Tanaka,Joe Soto,Bantamweight,Orthodox,Orthodox,S-DEC,900,3,5:00,0,0,0,306,3,6,57,190,68,202,46,178,6,7,5,5,47,174,0,2,10,14,50,30,33.66336634,25.84269663,85.71428571,100,27.01149425,0,71.42857143,66.66666667,36.03603604,28.98550725,0,0.2,0.4,3.8,12.66666667,4.533333333,13.46666667,3.066666667,11.86666667,0.4,0.466666667,0.333333333,0.333333333,3.133333333,11.6,0,0.133333333,0.666666667,0.933333333,Orthodox,0,4,0,14,1,1,71,111,98,138,54,88,4,6,13,17,67,106,0,1,4,4,33.33333333,71.01449275,63.96396396,61.36363636,66.66666667,76.47058824,63.20754717,0,100,50,70,66.33663366,0.266666667,0.066666667,0.2,4.733333333,7.4,6.533333333,9.2,3.6,5.866666667,0.266666667,0.4,0.866666667,1.133333333,4.466666667,7.066666667,4.466666667,0.066666667,0.266666667,0.266666667,2016,No,Men
1/2/2016,1,Dustin Poirier,Joe Duffy,Lightweight,Southpaw,Orthodox,U-DEC,900,3,5:00,0,0,0,563,4,7,72,137,88,153,58,121,7,8,7,8,33,77,12,20,27,40,57.14285714,52.55474453,57.51633987,47.9338843,87.5,87.5,42.85714286,60,67.5,100,63,51.2195122,0,0.266666667,0.466666667,4.8,9.133333333,5.866666667,10.2,3.866666667,8.066666667,0.466666667,0.533333333,0.466666667,0.533333333,2.2,5.133333333,0.8,1.333333333,1.8,2.666666667,Orthodox,0,1,0,8,0,0,37,100,60,123,29,92,7,7,1,1,27,85,8,13,2,2,0,48.7804878,37,31.52173913,100,100,31.76470588,61.53846154,100,42.85714286,47.44525547,42.48366013,0.066666667,0,0,2.466666667,6.666666667,4,8.2,1.933333333,6.133333333,0.466666667,0.466666667,0.066666667,0.066666667,1.8,5.666666667,1.8,0.866666667,0.133333333,0.133333333,2016,No,Men
1/2/2016,1,Drew Dober,Scott Holtzman,Lightweight,Southpaw,Orthodox,U-DEC,900,3,5:00,0,0,0,315,5,14,36,88,63,119,29,78,4,6,3,4,22,61,10,21,4,6,35.71428571,40.90909091,52.94117647,37.17948718,66.66666667,75,36.06557377,47.61904762,66.66666667,60,44.92753623,31.30434783,0,0.333333333,0.933333333,2.4,5.866666667,4.2,7.933333333,1.933333333,5.2,0.266666667,0.4,0.2,0.266666667,1.466666667,4.066666667,0.666666667,1.4,0.266666667,0.4,Orthodox,0,0,0,239,2,2,38,69,79,115,33,62,5,7,0,0,17,40,10,14,11,15,40,68.69565217,55.07246377,53.22580645,71.42857143,0,42.5,71.42857143,73.33333333,64.28571429,59.09090909,47.05882353,0,0.133333333,0.333333333,2.533333333,4.6,5.266666667,7.666666667,2.2,4.133333333,0.333333333,0.466666667,0,0,1.133333333,2.666666667,1.133333333,0.933333333,0.733333333,1,2016,No,Men
1/2/2016,1,Justine Kish,Nina Nunes,Women's Strawweight,Orthodox,Orthodox,U-DEC,900,3,5:00,0,0,0,171,3,10,72,135,91,155,45,94,12,19,15,22,50,106,17,23,5,6,30,53.33333333,58.70967742,47.87234043,63.15789474,68.18181818,47.16981132,73.91304348,83.33333333,50,47.12643678,44.84536082,0,0.2,0.666666667,4.8,9,6.066666667,10.33333333,3,6.266666667,0.8,1.266666667,1,1.466666667,3.333333333,7.066666667,1.133333333,1.533333333,0.333333333,0.4,Orthodox,0,0,1,160,1,1,92,174,107,194,50,117,20,34,22,23,76,150,15,22,1,2,50,55.15463918,52.87356322,42.73504274,58.82352941,95.65217391,50.66666667,68.18181818,50,70,46.66666667,41.29032258,0,0.066666667,0.133333333,6.133333333,11.6,7.133333333,12.93333333,3.333333333,7.8,1.333333333,2.266666667,1.466666667,1.533333333,5.066666667,10,5.066666667,1.466666667,0.066666667,0.133333333,2016,No,Women
1/2/2016,1,Alex Morono,Kyle Noke,Welterweight,Orthodox,Southpaw,S-DEC,900,3,5:00,0,1,0,66,0,0,43,125,81,166,34,110,6,9,3,6,35,109,4,11,4,5,0,34.4,48.79518072,30.90909091,66.66666667,50,32.11009174,36.36363636,80,66.66666667,55.97014925,49.03225806,0.066666667,0,0,2.866666667,8.333333333,5.4,11.06666667,2.266666667,7.333333333,0.4,0.6,0.2,0.4,2.333333333,7.266666667,0.266666667,0.733333333,0.266666667,0.333333333,Southpaw,0,0,0,190,1,1,59,134,79,155,24,78,20,34,15,22,44,106,3,11,12,17,33.33333333,50.96774194,44.02985075,30.76923077,58.82352941,68.18181818,41.50943396,27.27272727,70.58823529,100,65.6,51.20481928,0,0.066666667,0.2,3.933333333,8.933333333,5.266666667,10.33333333,1.6,5.2,1.333333333,2.266666667,1,1.466666667,2.933333333,7.066666667,2.933333333,0.733333333,0.8,1.133333333,2016,No,Men
1/2/2016,1,Michael McDonald,Masanori Kanehara,Bantamweight,Orthodox,Orthodox,SUB,429,2,2:09,0,2,0,12,0,0,5,13,6,14,4,10,0,1,1,2,5,13,0,0,0,0,0,38.46153846,42.85714286,40,0,50,38.46153846,0,0,0,11.76470588,4.938271605,0.27972028,0,0,0.699300699,1.818181818,0.839160839,1.958041958,0.559440559,1.398601399,0,0.13986014,0.13986014,0.27972028,0.699300699,1.818181818,0,0,0,0,Orthodox,0,1,0,350,2,2,15,17,77,81,4,6,11,11,0,0,3,5,0,0,12,12,100,95.0617284,88.23529412,66.66666667,100,0,60,0,100,100,61.53846154,57.14285714,0.13986014,0.27972028,0.27972028,2.097902098,2.377622378,10.76923077,11.32867133,0.559440559,0.839160839,1.538461538,1.538461538,0,0,0.41958042,0.699300699,0.41958042,0,1.678321678,1.678321678,2016,No,Men
1/2/2016,1,Abel Trujillo,Tony Sims,Lightweight,Orthodox,Southpaw,SUB,198,1,3:18,0,1,0,17,0,2,4,11,4,11,2,8,2,3,0,0,3,10,1,1,0,0,0,36.36363636,36.36363636,25,66.66666667,0,30,100,0,0,58.33333333,58.33333333,0.303030303,0,0.606060606,1.212121212,3.333333333,1.212121212,3.333333333,0.606060606,2.424242424,0.606060606,0.909090909,0,0,0.909090909,3.03030303,0.303030303,0.303030303,0,0,Southpaw,0,0,0,12,1,1,5,12,5,12,5,12,0,0,0,0,5,12,0,0,0,0,100,41.66666667,41.66666667,41.66666667,0,0,41.66666667,0,0,100,63.63636364,63.63636364,0,0.303030303,0.303030303,1.515151515,3.636363636,1.515151515,3.636363636,1.515151515,3.636363636,0,0,0,0,1.515151515,3.636363636,1.515151515,0,0,0,2016,No,Men
1/2/2016,1,Brian Ortega,Diego Brandao,Featherweight,Switch,Orthodox,SUB,697,3,1:37,0,2,0,103,0,1,29,110,33,114,18,91,11,19,0,0,28,109,1,1,0,0,0,26.36363636,28.94736842,19.78021978,57.89473684,0,25.68807339,100,0,33.33333333,48.14814815,47.4137931,0.172166428,0,0.086083214,2.496413199,9.469153515,2.840746055,9.81348637,1.549497848,7.833572453,0.946915352,1.635581062,0,0,2.410329986,9.383070301,0.086083214,0.086083214,0,0,Orthodox,0,0,0,20,2,2,56,108,61,116,38,87,10,11,8,10,51,99,0,0,5,9,66.66666667,52.5862069,51.85185185,43.67816092,90.90909091,80,51.51515152,0,55.55555556,100,73.63636364,71.05263158,0,0.172166428,0.258249641,4.820659971,9.296987088,5.25107604,9.985652798,3.271162123,7.489239598,0.860832138,0.946915352,0.68866571,0.860832138,4.390243902,8.522238164,4.390243902,0,0.430416069,0.774748924,2016,No,Men
1/2/2016,1,Albert Tumenov,Lorenz Larkin,Welterweight,Orthodox,Orthodox,S-DEC,900,3,5:00,0,0,0,17,0,2,76,194,76,194,52,167,19,22,5,5,71,184,5,10,0,0,0,39.17525773,39.17525773,31.13772455,86.36363636,100,38.58695652,50,0,100,55.48387097,55.48387097,0,0,0.133333333,5.066666667,12.93333333,5.066666667,12.93333333,3.466666667,11.13333333,1.266666667,1.466666667,0.333333333,0.333333333,4.733333333,12.26666667,0.333333333,0.666666667,0,0,Orthodox,0,0,0,14,0,0,69,155,69,155,12,84,10,12,47,59,68,151,1,4,0,0,0,44.51612903,44.51612903,14.28571429,83.33333333,79.66101695,45.03311258,25,0,100,60.82474227,60.82474227,0,0,0.133333333,4.6,10.33333333,4.6,10.33333333,0.8,5.6,0.666666667,0.8,3.133333333,3.933333333,4.533333333,10.06666667,4.533333333,0.266666667,0,0,2016,No,Men
